"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 10 04:20:20 UTC 2022","Mon Oct 10 04:20:22 UTC 2022","2448","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'completed'","can update status of an order to 'completed'",""
"passed","Mon Oct 10 10:51:16 UTC 2022","Mon Oct 10 10:51:21 UTC 2022","5208","Chrome","","Shipping zones API tests","","","cannot delete the default shipping zone ""Locations not covered by your other zones""",""
"passed","Mon Oct 10 10:49:37 UTC 2022","Mon Oct 10 10:49:42 UTC 2022","4146","Chrome","","Orders API tests: CRUD > Create an order","","","can create an order with status failed",""
"passed","Mon Oct 10 10:49:34 UTC 2022","Mon Oct 10 10:49:37 UTC 2022","3948","Chrome","","Orders API tests: CRUD > Create an order","","","can create an order with status refunded",""
"failed","Mon Oct 10 04:16:24 UTC 2022","Mon Oct 10 04:16:28 UTC 2022","3728","","Orders API tests","","Orders API tests","can permanently delete an order","can permanently delete an order",""
"passed","Mon Oct 10 10:48:48 UTC 2022","Mon Oct 10 10:48:50 UTC 2022","1656","Chrome","","Customers API tests: CRUD > Retrieve after env setup","","","can retrieve subscriber user",""
"failed","Mon Oct 10 04:13:48 UTC 2022","Mon Oct 10 04:13:48 UTC 2022","0","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","shipping class","shipping class",""
"passed","Mon Oct 10 10:51:24 UTC 2022","Mon Oct 10 10:51:26 UTC 2022","1712","Chrome","","Shipping zones API tests","","","can retrieve a shipping zone",""
"failed","Mon Oct 10 04:13:23 UTC 2022","Mon Oct 10 04:13:26 UTC 2022","2863","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","sku","sku",""
"skipped","Mon Oct 10 10:54:23 UTC 2022","Mon Oct 10 10:54:23 UTC 2022","0","Chrome","","Products API tests: List All Products > List all products","","","inclusion / exclusion",""
"failed","Mon Oct 10 04:13:53 UTC 2022","Mon Oct 10 04:13:53 UTC 2022","1","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","tags","tags",""
"skipped","Mon Oct 10 10:54:23 UTC 2022","Mon Oct 10 10:54:23 UTC 2022","0","Chrome","","Products API tests: List All Products > List all products > orderby","","","include",""
"passed","Mon Oct 10 04:23:13 UTC 2022","Mon Oct 10 04:23:15 UTC 2022","2427","","Order Search API tests","","Order Search API tests","can return an empty result set when no matches were found","can return an empty result set when no matches were found",""
"passed","Mon Oct 10 04:23:18 UTC 2022","Mon Oct 10 04:23:23 UTC 2022","4733","","Shipping methods API tests","","Shipping methods API tests","can add a 'Flat rate' shipping method","can add a 'Flat rate' shipping method",""
"passed","Mon Oct 10 10:51:09 UTC 2022","Mon Oct 10 10:51:12 UTC 2022","3471","Chrome","","Shipping methods API tests","","","can add a Free shipping shipping method",""
"skipped","Mon Oct 10 10:54:23 UTC 2022","Mon Oct 10 10:54:23 UTC 2022","3","Chrome","","Products API tests: List All Products > List all products","","","attributes",""
"skipped","Mon Oct 10 10:52:55 UTC 2022","Mon Oct 10 10:52:55 UTC 2022","0","Chrome","","Orders API tests > List all orders","","","status",""
"passed","Mon Oct 10 10:50:01 UTC 2022","Mon Oct 10 10:50:03 UTC 2022","1735","Chrome","","Orders API tests: CRUD > Update an order","","","can update status of an order to on-hold",""
"failed","Mon Oct 10 10:50:16 UTC 2022","Mon Oct 10 10:50:18 UTC 2022","1883","Chrome","","Customers API tests: CRUD > Delete a customer","","","can permanently delete an customer",""
"failed","Mon Oct 10 04:14:29 UTC 2022","Mon Oct 10 04:14:31 UTC 2022","2410","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","popularity (desc)","popularity (desc)",""
"passed","Mon Oct 10 10:51:11 UTC 2022","Mon Oct 10 10:51:13 UTC 2022","2166","Chrome","","Refunds API tests","","","can list all refunds",""
"skipped","Mon Oct 10 10:52:55 UTC 2022","Mon Oct 10 10:52:55 UTC 2022","0","Chrome","","Orders API tests > List all orders","","","dp (precision)",""
"failed","Mon Oct 10 04:13:38 UTC 2022","Mon Oct 10 04:13:44 UTC 2022","5602","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","before / after","before / after",""
"failed","Mon Oct 10 04:17:11 UTC 2022","Mon Oct 10 04:17:23 UTC 2022","12470","","Orders API tests List all orders","","Orders API tests List all orders","search","search",""
"passed","Mon Oct 10 04:20:17 UTC 2022","Mon Oct 10 04:20:20 UTC 2022","2556","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'on-hold'","can update status of an order to 'on-hold'",""
"failed","Mon Oct 10 04:14:27 UTC 2022","Mon Oct 10 04:14:29 UTC 2022","2466","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","rating (desc)","rating (desc)",""
"passed","Mon Oct 10 10:48:58 UTC 2022","Mon Oct 10 10:49:00 UTC 2022","1621","Chrome","","List coupons","","","can limit result set to matching code",""
"failed","Mon Oct 10 10:49:18 UTC 2022","Mon Oct 10 10:49:20 UTC 2022","1674","Chrome","","Customers API tests: CRUD > Create a customer","","","can create a customer",""
"skipped","Mon Oct 10 10:52:55 UTC 2022","Mon Oct 10 10:52:55 UTC 2022","0","Chrome","","Orders API tests","","","can permanently delete an order",""
"passed","Mon Oct 10 10:51:24 UTC 2022","Mon Oct 10 10:51:26 UTC 2022","1708","Chrome","","Tax Classes API tests: CRUD > Create a tax class","","","can create a tax class",""
"failed","Mon Oct 10 04:17:00 UTC 2022","Mon Oct 10 04:17:03 UTC 2022","2804","","Orders API tests List all orders","","Orders API tests List all orders","product","product",""
"passed","Mon Oct 10 10:49:30 UTC 2022","Mon Oct 10 10:49:34 UTC 2022","3770","Chrome","","Orders API tests: CRUD > Create an order","","","can create an order with status cancelled",""
"passed","Mon Oct 10 04:21:28 UTC 2022","Mon Oct 10 04:21:36 UTC 2022","7848","","Shipping zones API tests","","Shipping zones API tests","cannot delete the default shipping zone ""Locations not covered by your other zones""","cannot delete the default shipping zone ""Locations not covered by your other zones""",""
"passed","Mon Oct 10 04:21:48 UTC 2022","Mon Oct 10 04:21:51 UTC 2022","2496","","Shipping zones API tests","","Shipping zones API tests","can add country shipping regions to a shipping zone","can add country shipping regions to a shipping zone",""
"skipped","Mon Oct 10 10:52:55 UTC 2022","Mon Oct 10 10:52:55 UTC 2022","2","Chrome","","Orders API tests > orderby","","","id",""
"passed","Mon Oct 10 10:50:08 UTC 2022","Mon Oct 10 10:50:10 UTC 2022","1996","Chrome","","Orders API tests: CRUD > Update an order","","","can update status of an order to failed",""
"skipped","Mon Oct 10 10:54:23 UTC 2022","Mon Oct 10 10:54:23 UTC 2022","0","Chrome","","Products API tests: List All Products > List all products","","","featured",""
"passed","Mon Oct 10 10:50:33 UTC 2022","Mon Oct 10 10:50:39 UTC 2022","5157","Chrome","","Products API tests: CRUD","","","can add a virtual product",""
"failed","Mon Oct 10 10:53:31 UTC 2022","Mon Oct 10 10:53:34 UTC 2022","3324","Chrome","","Tax Rates API tests: CRUD > Batch tax rate operations","","","can batch delete tax rates",""
"failed","Mon Oct 10 04:13:17 UTC 2022","Mon Oct 10 04:13:19 UTC 2022","1846","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","inclusion / exclusion","inclusion / exclusion",""
"failed","Mon Oct 10 04:14:15 UTC 2022","Mon Oct 10 04:14:22 UTC 2022","6202","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","price","price",""
"passed","Mon Oct 10 10:51:26 UTC 2022","Mon Oct 10 10:51:28 UTC 2022","1507","Chrome","","Tax Classes API tests: CRUD > Retrieve after create","","","can retrieve a tax class",""
"failed","Mon Oct 10 04:17:26 UTC 2022","Mon Oct 10 04:17:28 UTC 2022","2655","","Orders API tests List all orders orderby","","Orders API tests List all orders orderby","date","date",""
"skipped","Mon Oct 10 10:54:23 UTC 2022","Mon Oct 10 10:54:23 UTC 2022","0","Chrome","","Products API tests: List All Products > List all products","","","stock status",""
"failed","Mon Oct 10 10:53:28 UTC 2022","Mon Oct 10 10:54:23 UTC 2022","54404","Chrome","","Products API tests: List All Products > List all products","","","defaults",""
"passed","Mon Oct 10 04:20:35 UTC 2022","Mon Oct 10 04:20:40 UTC 2022","4984","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can pay for an order","can pay for an order",""
"skipped","Mon Oct 10 10:54:23 UTC 2022","Mon Oct 10 10:54:23 UTC 2022","0","Chrome","","Products API tests: List All Products > List all products > orderby","","","title",""
"failed","Mon Oct 10 04:17:03 UTC 2022","Mon Oct 10 04:17:11 UTC 2022","7712","","Orders API tests List all orders","","Orders API tests List all orders","dp (precision)","dp (precision)",""
"passed","Mon Oct 10 04:18:48 UTC 2022","Mon Oct 10 04:18:54 UTC 2022","6188","","Products API tests: CRUD","","Products API tests: CRUD","can add a variable product","can add a variable product",""
"passed","Mon Oct 10 04:23:00 UTC 2022","Mon Oct 10 04:23:02 UTC 2022","2572","","Order Search API tests","","Order Search API tests","can search by shipping last name","can search by shipping last name",""
"passed","Mon Oct 10 04:22:44 UTC 2022","Mon Oct 10 04:22:46 UTC 2022","2517","","Order Search API tests","","Order Search API tests","can search by billing address 2","can search by billing address 2",""
"skipped","Mon Oct 10 10:54:23 UTC 2022","Mon Oct 10 10:54:23 UTC 2022","2","Chrome","","Products API tests: List All Products > List all products","","","type",""
"passed","Mon Oct 10 10:49:53 UTC 2022","Mon Oct 10 10:49:54 UTC 2022","1537","Chrome","","Orders API tests: CRUD > Retrieve an order","","","can retrieve an order",""
"passed","Mon Oct 10 10:51:43 UTC 2022","Mon Oct 10 10:51:47 UTC 2022","3685","Chrome","","Tax Rates API tests: CRUD > Delete a tax rate","","","can permanently delete a tax rate",""
"skipped","Mon Oct 10 10:52:55 UTC 2022","Mon Oct 10 10:52:55 UTC 2022","0","Chrome","","Orders API tests","","","can add shipping and billing contacts to an order",""
"passed","Mon Oct 10 10:48:40 UTC 2022","Mon Oct 10 10:48:42 UTC 2022","2420","Chrome","","Coupons API tests","","","can update a coupon",""
"passed","Mon Oct 10 04:18:42 UTC 2022","Mon Oct 10 04:18:48 UTC 2022","6356","","Products API tests: CRUD","","Products API tests: CRUD","can add a virtual product","can add a virtual product",""
"failed","Mon Oct 10 04:13:48 UTC 2022","Mon Oct 10 04:13:51 UTC 2022","2794","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","tax class","tax class",""
"passed","Mon Oct 10 10:49:08 UTC 2022","Mon Oct 10 10:49:11 UTC 2022","3455","Chrome","","Order Search API tests","","","can return an empty result set when no matches were found",""
"passed","Mon Oct 10 04:19:20 UTC 2022","Mon Oct 10 04:19:23 UTC 2022","3021","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create a pending order by default","can create a pending order by default",""
"passed","Mon Oct 10 10:51:28 UTC 2022","Mon Oct 10 10:51:29 UTC 2022","1614","Chrome","","Shipping zones API tests","","","can update a shipping zone",""
"failed","Mon Oct 10 10:52:10 UTC 2022","Mon Oct 10 10:52:55 UTC 2022","45196","Chrome","","Orders API tests","","","can create an order",""
"passed","Mon Oct 10 04:17:54 UTC 2022","Mon Oct 10 04:17:55 UTC 2022","1818","","Coupons API tests","","Coupons API tests","can update a coupon","can update a coupon",""
"passed","Mon Oct 10 10:50:25 UTC 2022","Mon Oct 10 10:50:31 UTC 2022","5579","Chrome","","Customers API tests: CRUD > Batch update customers","","","can batch delete customers",""
"passed","Mon Oct 10 10:48:47 UTC 2022","Mon Oct 10 10:48:50 UTC 2022","3211","Chrome","","Order Search API tests","","","can search by billing address 2",""
"passed","Mon Oct 10 10:49:59 UTC 2022","Mon Oct 10 10:50:01 UTC 2022","2018","Chrome","","Orders API tests: CRUD > Update an order","","","can update status of an order to processing",""
"passed","Mon Oct 10 10:50:46 UTC 2022","Mon Oct 10 10:50:49 UTC 2022","3410","Chrome","","Products API tests: CRUD","","","can delete a product",""
"skipped","Mon Oct 10 10:54:23 UTC 2022","Mon Oct 10 10:54:23 UTC 2022","0","Chrome","","Products API tests: List All Products > List all products > orderby","","","rating (desc)",""
"passed","Mon Oct 10 10:51:49 UTC 2022","Mon Oct 10 10:51:51 UTC 2022","1768","Chrome","","Tax Rates API tests: CRUD > Batch tax rate operations","","","can batch update tax rates",""
